	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	3063.01	20880228929909190156	156		广州地铁单程票 3张	12.00	99059231994911		1939c7fe9f6e4bcc9acd44ebc48a8dfe19	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	12.00	2016011321001004910091972858	0.00	转账	2016-01-13 06:23:19
	3073.01	20883128967985420156	156		广州地铁单程票 2张	10.00	98955104436541		ef3a06b87a554731a9c27b12036d4be142	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011321001004540082662562	0.00	转账	2016-01-13 06:32:47
	3075.01	20880120012748900156	156		广州地铁单程票 1张	2.00	99344765464891		e5f974c7709a49ba98c6be9768a0a02290	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011321001004890093735288	0.00	转账	2016-01-13 06:38:39
	3081.01	20887028039284010156	156		广州地铁单程票 2张	6.00	98987371619401		79b5c798fa6640fb905b997d21bc2d3d01	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011321001004400063530475	0.00	转账	2016-01-13 07:07:54
	3084.01	20880023699356920156	156		广州地铁单程票 1张	3.00	99031663465691		a43d8931fb244c61928af59b3fc40be392	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011321001004690034085220	0.00	转账	2016-01-13 07:25:18
	3089.01	20880022551199910156	156		广州地铁单程票 1张	5.00	98929326531991		d3494501422f45b8978ea271c32887db91	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011321001004990097642190	0.00	转账	2016-01-13 07:27:33
	3093.01	20881128110712480156	156		广州地铁单程票 1张	4.00	98959212881241		6913065b09c5408db9a396522a8446a048	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011321001004240058530708	0.00	转账	2016-01-13 07:27:41
	3096.01	20888026248318730156	156		广州地铁单程票 1张	3.00	99019744703871		61e1208f933f427699c04071e1fd822373	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011321001004870089342785	0.00	转账	2016-01-13 07:29:31
	3102.01	20883020540329280156	156		广州地铁单程票 1张	6.00	99308412341921		26db6dc239b2450ea14d671b5a3d52b128	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011321001004920097378483	0.00	转账	2016-01-13 07:34:46
	3104.01	20887026706152060156	156		广州地铁单程票 1张	2.00	98922486430201		7007a15ff31e4c0a9b0ff8c74b74802d06	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011321001004200003614033	0.00	转账	2016-01-13 07:36:45
