	balance	buyer_account	currency	deposit_bank_no	goods_title	income	iw_account_log_id	memo	merchant_out_order_no	outcome	partner_id	seller_account	seller_fullname	service_fee	service_fee_ratio	sign_product_name	sub_trans_code_msg	total_fee	trade_no	trade_refund_amount	trans_code_msg	trans_date
	2829.07	20885025082142340156	156		广州地铁单程票 1张	2.00	99148620388231		81b68b85c965425289533d50e71b1d2c34	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004230065222726	0.00	转账	2016-01-14 09:06:54
	2832.07	20886022375848540156	156		广州地铁单程票 1张	3.00	98974760023851		f1f2dcee7d054b078b10a1d34592fb9054	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004850092448198	0.00	转账	2016-01-14 09:08:39
	2835.07	20888028876339000156	156		广州地铁单程票 1张	3.00	99118392143901		0052983db9a84d3ea03f6556ea0f971700	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004900012917943	0.00	转账	2016-01-14 09:12:06
	2838.07	20888023907313370156	156		广州地铁单程票 1张	3.00	99119059811331		ff2e6a2e5a814ef7997b4b69c2d829d837	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004330041077201	0.00	转账	2016-01-14 09:16:06
	2844.07	20884021023721550156	156		广州地铁单程票 1张	6.00	99047050629151		03aa27f2cb3e4f70ad28342723c6e5b355	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004150094865452	0.00	转账	2016-01-14 09:25:24
	2848.07	20889126731391440156	156		广州地铁单程票 1张	4.00	99003314063141		d4a9f9b850094add8b55fe8d30282bc344	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004140000159919	0.00	转账	2016-01-14 09:26:36
	2855.07	20887022685763020156	156		广州地铁单程票 1张	7.00	99025918490301		816c423445a145b6a0582550e5a028fa02	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004300045967920	0.00	转账	2016-01-14 09:29:10
	2859.07	20885124604971030156	156		广州地铁单程票 1张	4.00	99104522912101		24fc9959004f4ca89d879dcd2ed360f203	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004100026953306	0.00	转账	2016-01-14 09:41:17
	2862.07	20883024760989400156	156		广州地铁单程票 1张	3.00	98953241354941		d9d2311a05da433389f20a27eebca1e540	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004940090552086	0.00	转账	2016-01-14 09:44:53
	2866.07	20886126917837460156	156		广州地铁单程票 1张	4.00	99092153949741		bdc6753cbff7468c9a12e97f1b12266c46	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004740043997212	0.00	转账	2016-01-14 09:47:08
	2872.07	20881026981176160156	156		广州地铁单程票 1张	6.00	99176462764611		f5f7080bf2684b39a15d1b37885847ab16	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004610041712553	0.00	转账	2016-01-14 09:54:55
	2876.07	20880128958389050156	156		广州地铁单程票 1张	4.00	99118796885901		56b530888a134ebfa18a43e5a8727a7905	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004900013056997	0.00	转账	2016-01-14 10:00:45
	127.00		156			0.00	99303639218820	20160113支付宝购票款	201601140015203547	2749.07				0.00			委托提现	0.00		0.00	提现	2016-01-14 10:03:16
	137.00	20887029117601040156	156		广州地铁单程票 2张	10.00	99104717197101		226004d6a8c04e4eb749be0440cc355b04	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011421001004100020922100	0.00	转账	2016-01-14 10:04:15
	142.00	20880229875899090156	156		广州地铁单程票 1张	5.00	99118859844901		84b636d92081467da3d7cb5de49ec5ac09	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004900012849147	0.00	转账	2016-01-14 10:07:00
	149.00	20880020006230160156	156		广州地铁单程票 1张	7.00	99198818982011		d06006dc12ff4558990e8c3678f26bba16	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	7.00	2016011421001004010096940793	0.00	转账	2016-01-14 10:09:06
	155.00	20886023470532460156	156		广州地铁单程票 1张	6.00	98968160646241		ac9b3ac47ef840b192950acd06d2f32146	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004240058379659	0.00	转账	2016-01-14 10:16:51
	160.00	20886022752138220156	156		广州地铁单程票 1张	5.00	99303770700821		b9ae598f22bf4d26baf410d3f7d96d2522	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004820094441417	0.00	转账	2016-01-14 10:17:00
	163.00	20881020576669840156	156		广州地铁单程票 1张	3.00	99477841155981		3016881c49bc499d9e89cf38debd656f84	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004980096025324	0.00	转账	2016-01-14 10:30:15
	167.00	20880223569330380156	156		广州地铁单程票 1张	4.00	99414935078031		0166469490c248029ab6869eb574aef738	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004030038375821	0.00	转账	2016-01-14 10:32:16
	170.00	20880122802351860156	156		广州地铁单程票 1张	3.00	99032277469181		942ec67eb866409b93d289f912caa38c86	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	3.00	2016011421001004180003804242	0.00	转账	2016-01-14 10:35:23
	174.00	20887124169026200156	156		广州地铁单程票 1张	4.00	99118783394621		be6b0bd6024b451d8094e4bf2feea1e520	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004620035727959	0.00	转账	2016-01-14 10:39:00
	178.00	20880022369704850156	156		广州地铁单程票 2张	4.00	99330429224481		beb95a2937f64797bd494acd4711407e85	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	4.00	2016011421001004480052463589	0.00	转账	2016-01-14 10:40:17
	180.00	20889121853779790156	156		广州地铁单程票 1张	2.00	99188044777971		a6b5efc7967841c9aed7d62fffe67d1179	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	2.00	2016011421001004970099232288	0.00	转账	2016-01-14 10:42:30
	189.00	20886020705858450156	156		广州地铁单程票 1张	9.00	99146940566841		4df72ddcff5d40da8c123e65da4f298045	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	9.00	2016011421001004840097607494	0.00	转账	2016-01-14 10:55:54
	194.00	20880020032150140156	156		广州地铁单程票 1张	5.00	99199336966011		fe086ad3eace47459aec1cc3f1c6634114	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	5.00	2016011421001004010091278213	0.00	转账	2016-01-14 11:04:17
	204.00	20882124420786200156	156		广州地铁单程票 2张	10.00	99119044299621		32e58ac4224b4c4196face84b75f4acf20	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	10.00	2016011421001004620036047577	0.00	转账	2016-01-14 11:06:57
	210.00	20880023355698850156	156		广州地铁单程票 2张	6.00	99045760135881		6d3a545eef334ed082efa3a691c2167c85	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004880091939287	0.00	转账	2016-01-14 11:07:59
	216.00	20889022602590120156	156		广州地铁单程票 1张	6.00	99199409362011		b23348d51b864d0f996002f1223c5e3612	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	6.00	2016011421001004010091205843	0.00	转账	2016-01-14 11:11:46
	231.00	20883125177936000156	156		广州地铁单程票 3张	15.00	99338971903601		77151d1ef27446999793390730b1640700	0.00	2088121612215201	20881216122152010156	支付宝(中国)网络技术有限公司	0.00			交易分账	15.00	2016011421001004600053180947	0.00	转账	2016-01-14 11:13:44
